segment_id,direction,max_spots,sign_id
8239332,1,4,202
8235879,1,6,678
8236414,0,4,678
8236414,1,10,798
8237279,1,30,798
8235735,1,22,798
8235678,0,8,236
8239704,0,21,202
8239534,1,7,202
8242264,1,13,202
8242459,1,21,669
8241860,1,9,652
8241860,0,7,652
8238529,0,10,632
8238529,1,8,632
8242701,1,10,631
8242701,0,15,631
8239682,1,2,634
8240726,1,8,634
8239681,1,9,634
8242954,0,9,632
8242954,1,8,632
8236997,0,10,634
8236996,0,10,634
8236995,0,2,634
8236995,1,4,634
8236996,1,6,634
8237640,1,8,632
8236702,1,5,731
8242667,1,7,631
8236991,0,3,731
8236997,1,2,634
8235113,0,10,631
8236312,0,8,630
8236312,1,9,630
8236993,0,9,634
8242794,0,8,695
8242794,1,10,695
8242667,0,8,631
8235113,1,9,631
8237640,0,8,632
8236993,1,2,634
8237127,0,21,631
8237127,1,21,631
8237556,0,7,634
8237556,1,3,634
8236961,1,4,630
8236961,0,11,630
8236962,1,16,630
8236962,0,15,630
8237555,1,11,634
8237555,0,4,634
8236963,1,10,630
8236963,0,6,630
8235429,1,4,631
8235429,0,4,631
8238588,0,10,631
8238588,1,11,631
8237648,1,25,652
8234809,1,9,652
8239865,1,10,695
8239865,0,11,695
8238635,1,4,695
8236702,0,5,695
8238635,0,10,695
8238636,1,8,695
8238636,0,12,695
8239064,1,5,695
8239065,1,7,695
8239066,0,3,695
8239066,1,2,695
8239065,0,4,695
8239064,0,6,695
8239648,1,12,632
8239649,0,2,731
8239648,0,5,632
8239087,0,7,669
8239087,1,5,669
8239703,1,9,631
8240668,1,3,652
8238301,1,6,653
8238301,0,7,653
8238302,0,13,653
8238302,1,12,653
8238303,1,25,653
8238303,0,17,653
8239698,0,9,669
8239698,1,17,669
8237656,0,13,686
8242865,0,6,686
8238358,1,16,731
8242915,0,11,630
8242915,1,11,630
8236355,0,9,695
8236355,1,7,695
8239897,1,4,630
8239897,0,4,630
8241057,1,10,731
8236354,0,8,695
8236354,1,6,695
8240982,1,10,669
8240983,0,6,669
8240984,1,12,669
8240984,0,15,669
8235970,0,9,669
8235970,1,8,630
8241838,1,17,653
8241838,0,16,653
8238524,1,9,686
8238524,0,6,686
8238525,1,4,686
8238525,0,6,686
8240362,1,5,653
8238583,0,3,669
8238584,0,15,669
8236922,0,15,653
8241354,1,4,653
8234395,0,5,653
8235636,0,25,653
8239820,0,8,634
8240415,0,7,653
8239700,1,7,686
8238032,0,8,695
8238879,1,16,669
8241415,1,10,630
8235988,1,33,631
8238879,0,17,669
8235691,1,26,652
8241416,0,3,630
8240686,0,25,634
8241417,0,7,630
8243045,1,7,695
8236159,1,3,669
8239685,1,10,686
8235691,0,15,652
8240852,1,23,634
8240686,1,23,634
8235690,0,7,652
8241415,0,8,630
8237663,0,9,653
8237663,1,9,653
8241414,0,11,630
8241414,1,7,630
8237662,0,16,653
8237662,1,23,653
8236172,1,3,697
8242702,1,5,631
8242702,0,5,631
8242703,1,7,631
8242703,0,4,631
8234042,1,7,216
8235325,1,16,783
8235325,0,6,634
8238947,0,3,669
8236176,0,5,630
8236175,0,5,630
8242062,1,7,630
8242088,0,5,686
8234524,1,25,647
8237186,1,16,647
8235063,1,2,653
8239562,1,13,653
8236957,1,7,631
8239342,1,11,632
8238925,0,11,647
8238924,0,11,647
8239615,1,8,631
8239615,0,6,631
8239614,1,6,631
8239614,0,5,631
8236459,1,4,976
8234278,1,9,686
8234333,1,6,652
8234279,0,4,686
8234279,1,6,686
8240752,1,9,976
8240752,0,9,976
8236382,1,9,647
8236122,1,13,630
8234416,0,10,976
8234416,1,19,976
8234526,0,6,634
8237072,1,7,653
8237195,1,5,630
8238233,0,13,653
8238233,1,20,653
8236072,0,17,653
8236072,1,17,653
8236071,0,12,653
8236071,1,4,653
8235711,1,12,632
8235711,0,11,632
8236835,1,3,630
8236835,0,4,630
8234787,1,1,632
8234787,0,3,632
8236833,1,13,630
8236834,1,15,630
8236834,0,15,630
8236833,0,9,630
8242728,0,31,630
8242728,1,35,736
8235831,0,10,630
8235831,1,7,630
8235830,1,4,630
8235830,0,4,630
8235829,0,13,630
8235829,1,7,630
8239032,1,19,976
8239032,0,19,976
8239583,0,6,653
8240980,1,6,236
8240980,0,4,236
8236983,1,6,236
8236983,0,3,236
8236960,0,1,216
8242256,1,5,231
8240465,0,2,630
8240464,0,2,630
8240463,0,3,630
8240463,1,2,630
8240465,1,3,630
8240464,1,3,630
8236592,0,11,632
8236592,1,7,632
8236591,1,8,632
8236591,0,13,632
8236590,1,5,632
8236590,0,11,632
8236589,1,6,632
8236589,0,14,632
8239849,1,1,632
8239849,0,1,632
8239850,1,1,632
8239850,0,1,632
8239851,1,13,632
8239851,0,11,632
8235299,0,0,980
8238267,0,12,976
8238267,1,14,976
8238266,1,1,976
8238266,0,1,976
8235295,0,0,980
8235298,0,0,980
8235297,0,0,980
8235296,0,0,980
8240420,0,15,631
8240420,1,15,631
8240418,1,1,631
8237677,1,8,653
8239862,1,1,634
8239862,0,1,634
8239864,1,15,634
8239864,0,17,634
8236140,0,0,980
8236138,0,0,980
8236138,1,0,980
8236137,1,9,731
8236137,0,0,980
8236136,1,20,731
8236136,0,0,980
8242121,1,3,669
8242121,0,0,980
8242122,1,9,669
8242122,0,8,669
8242127,1,11,669
8242127,0,9,669
8242124,1,1,669
8242124,0,4,669
8242125,1,0,980
8242125,0,4,669
8242126,0,4,669
8242126,1,3,669
8242123,0,6,669
8242123,1,8,669
8242130,0,0,980
8242130,1,2,681
8242128,1,8,669
8242128,0,8,669
8239783,1,12,669
8237675,1,12,653
8237676,1,8,653
8239075,0,0,980
8239075,1,6,647
8237678,1,8,653
8237757,1,0,980
8240111,1,0,980
8240111,0,4,653
8238129,0,0,980
8238129,1,0,980
8241488,1,4,231
8238131,0,0,980
8238676,1,10,783
8241217,0,0,980
8238468,0,0,980
8242115,1,0,980
8242115,0,0,980
8241101,0,6,669
8242389,1,0,980
8242390,0,0,980
8236773,0,0,980
8241405,0,0,980
8238134,0,0,980
8238134,1,0,980
8238133,1,0,980
8238133,0,0,980
8238132,0,0,980
8238676,0,4,738
8236108,1,0,980
8236108,0,0,980
8241817,0,0,980
8240910,1,0,980
8240910,0,0,980
8241817,1,0,980
8234843,1,20,653
8241438,1,0,980
8242704,1,3,686
8242705,1,16,686
8234389,1,7,653
8234390,1,0,985
8240398,1,8,686
8240399,1,3,686
8240399,0,14,686
8240400,1,3,686
8240400,0,11,686
8234623,1,0,980
8241420,1,2,652
8241421,1,5,652
8241422,1,14,652
8237860,1,30,686
8241229,1,0,985
8241229,0,0,985
8241000,0,0,985
8234888,0,9,669
8242493,0,14,669
8242493,1,10,669
8242491,0,7,669
8242491,1,3,669
8242492,0,3,669
8242492,1,3,669
8234152,0,4,652
8234152,1,7,652
8237008,0,4,652
8237007,0,10,652
8237007,1,2,652
8237008,1,1,652
8237009,1,3,652
8237009,0,0,652
8237324,1,8,653
8238327,0,7,686
8238327,1,9,686
8235258,0,3,216
8235517,0,0,980
8242266,1,3,236
8242422,0,2,798
8242422,1,2,798
8241939,0,12,798
8241940,1,5,798
8241940,0,1,798
8238217,1,3,798
8238217,0,3,980
8241186,0,0,980
8236872,0,0,980
8236872,1,0,980
8234606,0,1,345
8241699,1,0,980
8235004,1,0,980
8242969,0,0,980
8237945,1,0,980
8235647,1,0,980
8238219,1,16,647
8238219,0,28,647
8238220,1,13,647
8238220,0,18,647
8240623,1,3,653
8241647,1,12,669
8241647,0,14,669
8239923,0,3,632
8239923,1,5,632
8241007,1,6,632
8241008,1,13,630
8241008,0,16,630
8240314,1,5,669
8241891,1,15,653
8241737,0,15,653
8241737,1,6,653
8239664,1,3,652
8239665,1,1,652
8239666,1,4,652
8235440,1,0,1002
8242153,0,12,686
8237871,1,6,686
8234122,1,0,1001
8238165,1,0,1002
8238165,0,8,978
8235304,0,0,1002
8239413,0,0,985
8239414,0,0,985
